0   1    1    2   1   4   3   3   3   0   2   2   0   2  10   9  13 
0    0    1    1   0   2  17   3   4   2   2   0   2   2  10  12  12
1    0    0    0   0   0   0   4   0   2   0   4   0   2  10  11  10  
0    0    0    2   0   0   2   0   0   0   0   0   2   1  10  11  10
0    2    4    0   0   0   0   0   2   4   0   0   0   0   0   0   2  
0    0    0    0   2   0   0   0   0   0   0   1   0   4   0   0   2
2    0    1    0   0   4   1   0   0   0   0   1   5   2   4   0   2  
1    0    0    1   1   2   1   2   0   4   1   0   2   2   2   0   1
2    0    2    0   4   0   2   0   0   0   1   0   0   0   1   0   2
2    0    0    0   0   0   2   0   1   0   0   4   0   2   0   0   1  
2    0    4    2   0   0   1   1   0   0   4   0   0   1   0   0   2
1    0    0    0   0   4   0   1   4   0   0   0   0   4   1   0   1  
1    0    1    2   0   0   0   1   0   0   0   1   0   1   4   0   1
2    0    4    5   2   0   0   0   0   4   0   1   0   0   0   0   2  
1    2    2   16   2   2   1   1   2   2   2   4   2   2   2   2   2
